GLBRC 2011 Series 1,,,,,,,,,,,,,,,,,
"time entered by:  LC, AO",,,,,,,,,,,,,,,,,
time checked by: DC,,,,,,,,,,,,,,,,,
sample date:  4/7/2011,,,,,,,,,,,,,,,,,
,,,,,,,Box,Box,Box,Box,,,,,,,
G,Block,T0-T3,Microplots,Chamber #,Vial #,Lid Type,Ht (cm),Ht (cm),Ht (cm),Ht (cm),Soil temp,Hours,Minutes,Seconds,Time ,Actual time,Notes
G9,4,3,M1,1,172,Y,18,18.5,18,17.5,1.25,0,56,43,56.7,54.0,Thermometer Broken?
G6,4,0,M1,1,173,Y,17.5,18.5,18,19,1.25,0,4,22,4.4,0.0,Thermometer Broken?
G6,4,1,M1,1,174,Y,17.5,18.5,18,19,1.25,0,22,22,22.4,18.0,Thermometer Broken?
G6,4,2,M1,1,175,Y,17.5,18.5,18,19,1.25,0,40,22,40.4,36.0,Thermometer Broken?
G6,4,3,M1,1,176,Y,17.5,18.5,18,19,1.25,0,58,22,58.4,54.0,Thermometer Broken?
G5,4,0,M1,1,177,Y,18,18,18,17.5,1.75,0,6,11,6.2,0.0,Thermometer Broken?
G5,4,1,M1,1,178,Y,18,18,18,17.5,1.75,0,24,11,24.2,18.0,Thermometer Broken?
G5,4,2,M1,1,179,Y,18,18,18,17.5,1.75,0,42,11,42.2,36.0,Thermometer Broken?
G5,4,3,M1,1,180,Y,18,18,18,17.5,1.75,1,0,11,60.2,54.0,Thermometer Broken?
G9,2,0,M1,1,181,Y,19,19,19,18.5,2,0,8,0,8.0,0.0,Thermometer Broken?
G9,2,1,M1,1,182,Y,19,19,19,18.5,2,0,26,0,26.0,18.0,Thermometer Broken?
G9,2,2,M1,1,183,Y,19,19,19,18.5,2,0,44,0,44.0,36.0,Thermometer Broken?
G9,2,3,M1,1,184,Y,19,19,19,18.5,2,1,2,0,62.0,54.0,Thermometer Broken?
G9,1,0,M1,1,185,Y,17,17,17.5,16.5,2,0,0,0,0.0,0.0,Thermometer Broken?
G9,1,1,M1,1,186,Y,17,17,17.5,16.5,2,0,18,0,18.0,18.0,Thermometer Broken?
G9,1,2,M1,1,187,Y,17,17,17.5,16.5,2,0,36,0,36.0,36.0,Thermometer Broken?
G9,1,3,M1,1,188,Y,17,17,17.5,16.5,2,0,54,0,54.0,54.0,Thermometer Broken?
G6,2,0,M1,1,189,Y,17,18,18.5,18.5,1.25,0,1,52,1.9,0.0,Thermometer Broken?
